V2Codes,Description
XE1vX,Malignant tumour of anal canal
XE1vY,Malignant tumour of gallbladder
XE1vZ,Malignant tumour of respiratory and intrathoracic organ
XE1wg,[X]Mesothelioma of other sites
XE1wp,Tongue carcinoma
XE1wz,Ca upper third oesophagus
XE1x1,Ca middle third oesophagus
XE1x3,Ca lower third oesophagus
XE1x5,Ca oesophagus NOS
XE1x7,Ca cardia - stomach
XE1x9,Ca pylorus - stomach
XE1xB,Ca fundus - stomach
XE1xD,Ca Body - stomach
XE1xd,Ca colon NOS
XE1xF,Ca lesser curvature - stomach
XE1xf,Ca rectum with Ca anus
XE1xH,Ca greater curvature - stomach
XE1xh,Carcinoma of the rectosigmoid junction
XE1xJ,Ca stomach NOS
XE1xL,Carcinoma of colon
XE1xN,Ca hepatic flexure - colon
XE1xP,Ca transverse colon
XE1xp,Ca liver - primary
XE1xR,Ca descending colon
XE1xr,Ca intrahepatic bile ducts
XE1xT,Ca sigmoid colon
XE1xt,Gallbladder Ca
XE1xv,Ca extrahepatic bile ducts
XE1xX,Ca ascending colon
XE1xx,Ca liver/biliary system NOS
XE1xZ,Ca splenic flexure - colon
XE1xz,Ca head of pancreas
XE1y1,Ca body of pancreas
XE1y3,Ca tail of pancreas
XE1y5,Ca pancreas NOS
XE1y7,Ca larynx - glottis
XE1y9,Ca larynx - supraglottis
XE1yB,Ca larynx - subglottis
XE1yb,Ca upper limb bones/scapula
XE1yD,Ca larynx - NOS
XE1yd,Ca pelvic bones/sacrum/coccyx
XE1yf,Ca lower limb bones
XE1yh,Ca bone/joint cartilage NOS
XE1yJ,Ca main bronchus
XE1yL,Ca upper lobe bronchus/lung
XE1yl,Malignant melanoma of head and neck
XE1yN,Ca middle lobe bronchus/lung
XE1yn,Malignant melanoma of trunk
XE1yP,Ca lower lobe bronchus/lung
XE1yp,Malignant melanoma of upper limb
XE1yR,Ca trachea/bronchus/lung NOS
XE1yr,Malignant melanoma of lower limb
XE1yV,Ca skull/face/jaw bone
XE1yZ,Ca ribs/sternum/clavicle
XE1z9,"Ca breast-upper,inner quadrant"
XE1zB,"Ca breast-lower,inner quadrant"
XE1zD,"Ca breast-upper,outer quadrant"
XE1zf,Ca penis
XE1zF,"Ca breast-lower,outer quadrant"
XE1zH,Ca breast - axillary tail
XE1zJ,Ca breast - male
XE1zl,Ca kidney/other urinary organs
XE1zL,Ca breast - NOS
XE1zn,Ca kidney/urinary organs NOS
XE1zP,Ca cervix uteri - endocervix
XE1zR,Ca cervix uteri - exocervix
XE1zr,Other primary carcinomas
XE1zT,Ca cervix uteri NOS
XE1zX,Ca ovary/other uterine adnexa
XE2vN,Malignant neoplasm of common bile duct
XE2vO,"Malignant neoplasm of bone, connective tissue, skin and breast"
XE2vP,Malignant neoplasm of genitourinary organ
XE2vQ,Malignant neoplasm of kidney and other unspecified urinary organs
XE2vR,Malignant neoplasm of other and unspecified sites
XE2vS,Malignant brain tumour
XE2vT,Secondary malignant neoplasm of other specified sites
XM0Ac,Carcinoma of base of tongue
XM0Ad,Metastasis to large intestine
XM0pb,Tonsil carcinoma
XM0pq,Cerebrum Ca
XM0ps,Malignant melanoma of eye
XM0pv,Secondary malignant neoplasm of unknown site
XM0pZ,Palate carcinoma
XM1FE,Combined hepatocellular carcinoma and cholangiocarcinoma
XM1MM,Metastasis to digestive organs
XM1Oc,Carcinoma ventral surface of tongue
XM1Od,Carcinoma anterior 2/3 tongue ventrum
XM1Oe,Carcinoma of anterior two-thirds of tongue - dorsal surface
XM1Of,Carcinoma of midline of tongue
XM1Pr,Cerebral metastasis
XM1Ps,Cerebral tumour - malignant
XM1QO,Carcinoma of tongue base - dorsal surface
XSA0M,Secondary malignant neoplasm of mouth
X77nj,Klatskin's tumour
X78l7,Secondary carcinoma of other specified sites
Xa0ay,Rhabdomyosarcoma of bladder
Xa99y,Rhabdomyosarcoma
XaBB2,Adamantinoma of long bone
XE207,Secondary Ca GIT
X78hk,Malignant infiltration of skin
X78Sd,Malignant skin tumour with eccrine differentiation
X78Sj,Mucoepidermoid carcinoma of skin
X78T3,Malignant skin tumour with apocrine differentiation
X78T4,Extramammary Paget's disease of skin
X78Ut,Epithelioid cell sarcoma of skin
Xa0C0,Primary signet ring carcinoma of skin
Xa0CD,Malignant tumour of skin with pilar differentiation
Xa3BF,Metastasis to skin of unknown primary
XaBB4,Pilomatrix carcinoma of skin
X2032,Pulmonary tumour embolism
X77nT,Carcinoid bronchial adenoma
X78bA,Malignant haemangiopericytoma of orbit
X78bB,Malignant fibrous histiocytoma of orbit
X78dW,Malignant pinealoma
X78e9,Malignant tumour of unknown origin
X78eB,Multiple malignancy
X78ef,Malignant tumour
X78io,Teratoma of testis
X78ip,Seminoma of testis
X78ka,Metastasis to thymus
X78kX,Secondary lymphangitic carcinoma
X78kY,Lymphangitis carcinomatosa
X78P0,Angiosarcoma of liver
X78QQ,Epithelioid haemangioendothelioma of lung
X78QR,Lymphomatoid granulomatosis of lung
X78Uq,Malignant haemangiopericytoma of skin
X78Vi,Malignant lipomatous tumour
X78WQ,Cancer en cuirasse
X78X8,Malignant germ cell tumour of ovary
X78XD,Dysgerminoma of ovary
X78Xh,Adenosquamous carcinoma of cervix
Xa0bJ,Malignant teratoma of mediastinum
Xa0bK,Malignant seminoma of mediastinum
Xa0bL,Malignant neuroma of mediastinum
Xa0bV,Malignant Leydig cell tumour of testis
Xa0bY,Sertoli cell tumour of testis
Xa0Dp,Malignant glioma of brain
Xa0Dr,Glioblastoma multiforme of brain
Xa0ko,Mixed seminoma teratoma of testis
Xa0QD,Anaplastic astrocytoma of brain
Xa0WH,Malignant peritoneal local recurrence
Xa1qs,Tibial adamantinoma
Xa3A9,Metastasis to thymus of unknown primary
Xa3AG,Metastasis to spleen of unknown primary
Xa3Bc,Metastasis to lymph node of unknown primary
Xa3Bd,Disseminated malignancy of unknown primary
Xa97z,Malignant tumour of unknown origin or ill-defined site
Xa980,Metastasis to lymph node
Xa981,Metastasis to epididymis
Xa982,Metastatic malignant disease
Xa983,Disseminated malignancy
Xa9Jc,Metastasis to head and neck lymph node
Xa9Je,Metastasis to intrathoracic lymph node
Xa9Jg,Metastasis to intra-abdominal lymph node
Xa9Ji,Metastasis to upper limb lymph node
Xa9Jk,Metastasis to lower limb lymph node
Xa9Jm,Metastasis to intrapelvic lymph node
Xa9Jo,Metastasis to multiple lymph nodes
XaBAn,Carcinomatosis
XaBAu,Pseudomyxoma peritonei
XaBAw,Malignant blue naevus of skin
XaBAx,Mesoblastic nephroma
XaBBr,Microglioma
XaCJ1,Primary malignant neoplasm of unknown site
XaELJ,Seminoma of undescended testis
XaELK,Seminoma of descended testis
XaELL,Teratoma of descended testis
XaELM,Teratoma of undescended testis
XaFrc,Metastases by primary malignancy
XaFrd,Metastasis from malignant melanoma of skin
XaFre,Metastasis from malignant tumour of skin
XaFrf,Metastasis from malignant tumour of soft tissues
XaFrg,Metastasis from malignant tumour of bone
XaFrh,Metastasis from malignant tumour of adrenal gland
XaFri,Metastasis from malignant tumour of cervix
XaFrj,Metastasis from malignant tumour of uterus
XaFrk,Metastasis from malignant tumour of prostate
XaFrl,Metastasis from malignant tumour of bladder
XaFrm,Metastasis from malignant tumour of kidney
XaFrn,Metastasis from malignant tumour of rectum
XaFro,Metastasis from malignant tumour of colon
XaFrp,Metastasis from malignant tumour of pancreas
XaFrq,Metastasis from malignant tumour of liver
XaFrr,Metastasis from malignant tumour of gallbladder
XaFrs,Metastasis from malignant tumour of stomach
XaFrt,Metastasis from malignant tumour of oesophagus
XaFru,Metastasis from malignant tumour of breast
XaFrv,Metastasis from malignant tumour of bronchus
XaFrw,Metastasis from malignant tumour of lung
XaFrx,Metastasis from malignant tumour of thyroid
XaFry,Metastasis from malignant tumour of buccal cavity
XaFrz,Metastasis from malignant tumour of tongue
XaKWz,Malignant sacral teratoma
XE1vn,Disseminated malignancy NOS
XE1vo,Malignant tumour of lymphoid haemopoietic and related tissue
XE1zz,Secondary nodes - axilla/arm
XE201,Secondary nodes - inguinal/leg
XE203,Secondary nodes NOS
XE20B,Secondary Ca NOS
XE20H,Ca - unspecified site NOS
XE2xB,Secondary and unspecified malignant neoplasm of lymph nodes
XM00F,Malignant tumour of ill-defined site
